Address_Range,Council_District,HPD_Beat,HPD_District,HPD_Division,Offense,Premise_Type,SNB_Name,SNB_No,Time_Begun,Full_time,Weekday,Month,Time,lat,lon,Estimated_Population
1300-1399 CROSSTIMBERS,H,3B40,3,North Division,Theft,Convenience Store,INDEPENDENCE HEIGHTS,13,1475531700000.0,2016-10-03 16:55:00,Monday,October,16:55:00,29.828917699999998,-95.3557052,"228,390"
400-499 CANADIAN,H,2A20,2,Central Division,Theft,"Road, Street, or Sidewalk",NEAR NORTHSIDE,51,1475235000000.0,2016-09-30 06:30:00,Friday,September,06:30:00,29.8048398,-95.36659329999999,"173,195"
1100-1199 STUDEWOOD,H,2A30,2,Central Division,Theft,Commercial Parking Lot or,GREATER HEIGHTS,15,1475235000000.0,2016-09-30 06:30:00,Friday,September,06:30:00,29.7910467,-95.38768490000001,"173,195"
300-399 E 36TH,H,3B40,3,North Division,Aggravated Assault,"Road, Street, or Sidewalk",INDEPENDENCE HEIGHTS,13,1476139200000.0,2016-10-10 17:40:00,Monday,October,17:40:00,29.8188609,-95.3960967,"228,390"
3100-3199 WHITE OAK,C,2A30,2,Central Division,Theft,Restaurant or Cafeteria P,GREATER HEIGHTS,15,1476737100000.0,2016-10-17 15:45:00,Monday,October,15:45:00,29.781602799999998,-95.3907224,"173,195"
1500-1599 WHITE OAK,H,2A30,2,Central Division,Robbery,"Field, Woods, Forest, Par",GREATER HEIGHTS,15,1476135600000.0,2016-10-10 16:40:00,Monday,October,16:40:00,29.780855100000004,-95.37269690000001,"173,195"
100-199 BERRY,H,3B50,3,North Division,Theft,Bar or Night Club Parking,NORTHSIDE/NORTHLINE,45,1475987400000.0,2016-10-08 23:30:00,Saturday,October,23:30:00,29.8375674,-95.3757312,"228,390"
2200-2299 MAURY,H,2A10,2,Central Division,Aggravated Assault,Residence or House,NEAR NORTHSIDE,51,1475994600000.0,2016-10-09 01:30:00,Sunday,October,01:30:00,29.7814785,-95.3497431,"173,195"
1700-1799 WASHINGTON,H,2A40,2,Central Division,Theft,Other Parking Lot,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1475334000000.0,2016-10-01 10:00:00,Saturday,October,10:00:00,29.767556899999995,-95.3748459,"173,195"
7300-7399 CURRY,H,7C30,7,Northeast Division,Burglary,Apartment,EASTEX - JENSEN AREA,46,1475172000000.0,2016-09-29 13:00:00,Thursday,September,13:00:00,29.8254256,-95.3376602,"250,444"
3000-3099 STAPLES,B,7C20,7,Northeast Division,Burglary,Residence or House,GREATER FIFTH WARD,55,1475170800000.0,2016-09-29 12:40:00,Thursday,September,12:40:00,29.789662,-95.3349795,"250,444"
400-499 VINCENT,H,2A20,2,Central Division,Burglary,Residence or House,GREATER HEIGHTS,15,1474851000000.0,2016-09-25 19:50:00,Sunday,September,19:50:00,29.7941223,-95.3729124,"173,195"
1200-1299 ARMSTEAD,H,2A20,2,Central Division,Burglary,Residence or House,GREATER HEIGHTS,15,1475488800000.0,2016-10-03 05:00:00,Monday,October,05:00:00,29.801737300000003,-95.3792965,"173,195"
800-899 TRAVIS,I,1A10,1,Special Operations Division,Auto Theft,"Road, Street, or Sidewalk",DOWNTOWN,61,1475357400000.0,2016-10-01 16:30:00,Saturday,October,16:30:00,29.7589886,-95.3646454,"173,195"
500-599 W 26TH,C,2A30,2,Central Division,Aggravated Assault,Residence or House,GREATER HEIGHTS,15,1475421360000.0,2016-10-02 10:16:00,Sunday,October,10:16:00,29.8099456,-95.4060446,"173,195"
2000-2099 WHITE,H,2A40,2,Central Division,Auto Theft,Commercial Parking Lot or,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1476980460000.0,2016-10-20 11:21:00,Thursday,October,11:21:00,29.775807300000004,-95.37815359999999,"173,195"
900-999 YALE,C,2A30,2,Central Division,Theft,"Multi-Plex Home (Duplex,T",GREATER HEIGHTS,15,1475263800000.0,2016-09-30 14:30:00,Friday,September,14:30:00,29.7870065,-95.39890159999999,"173,195"
6600-6699 HIRSCH,B,7C20,7,Northeast Division,Burglary,Apartment,TRINITY / HOUSTON GARDENS,48,1475400600000.0,2016-10-02 04:30:00,Sunday,October,04:30:00,29.819563300000002,-95.32873719999999,"250,444"
1400-1499 AIRLINE,H,2A20,2,Central Division,Theft,Restaurant or Cafeteria,GREATER HEIGHTS,15,1475078400000.0,2016-09-28 11:00:00,Wednesday,September,11:00:00,29.7973932,-95.3818217,"173,195"
4000-4099 EDISON,H,2A10,2,Central Division,Burglary,Residence or House,NEAR NORTHSIDE,51,1475226900000.0,2016-09-30 04:15:00,Friday,September,04:15:00,29.7965578,-95.3628604,"173,195"
2900-2999 AIRLINE,H,2A20,2,Central Division,Robbery,Restaurant or Cafeteria P,GREATER HEIGHTS,15,1475211180000.0,2016-09-29 23:53:00,Thursday,September,23:53:00,29.8132502,-95.38236140000001,"173,195"
7400-7499 EASTEX ,H,7C30,7,Northeast Division,Aggravated Assault,Highway or Freeway,EASTEX - JENSEN AREA,46,1475917560000.0,2016-10-08 04:06:00,Saturday,October,04:06:00,29.9387477,-95.2949453,"250,444"
700-799 CAPERTON,H,3B50,3,North Division,Aggravated Assault,Residence or House,NORTHSIDE/NORTHLINE,45,1476653460000.0,2016-10-16 16:31:00,Sunday,October,16:31:00,29.829763699999997,-95.3636321,"228,390"
3300-3399 QUITMAN,B,7C20,7,Northeast Division,Theft,Vacant Single Occ Resd(Ho,GREATER FIFTH WARD,55,1476374400000.0,2016-10-13 11:00:00,Thursday,October,11:00:00,29.783790600000003,-95.33667940000001,"250,444"
4000-4099 IRVINGTON,H,2A10,2,Central Division,Theft,Commercial Parking Lot or,NEAR NORTHSIDE,51,1475427600000.0,2016-10-02 12:00:00,Sunday,October,12:00:00,29.7965838,-95.3608893,"173,195"
3700-3799 CENTER,C,2A50,2,Central Division,Theft,Other Parking Lot,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1475586000000.0,2016-10-04 08:00:00,Tuesday,October,08:00:00,29.7704082,-95.39717420000001,"173,195"
5700-5799 PICKFAIR,B,7C20,7,Northeast Division,Aggravated Assault,"Multi-Plex Home (Duplex,T",KASHMERE GARDENS,52,1474676400000.0,2016-09-23 19:20:00,Friday,September,19:20:00,29.811409,-95.3189667,"250,444"
4200-4299 SPENCER,C,2A50,2,Central Division,Burglary,Vacant Single Occ Resd(Ho,WASHINGTON AVENUE COALITION / MEMORIAL PARK,22,1476352800000.0,2016-10-13 05:00:00,Thursday,October,05:00:00,29.775217200000004,-95.4032898,"173,195"
